community_area,created_date_formatted,created_year,created_day_of_week,created_weekday_weekend,created_season,is_holiday,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,count,count_lag_1,count_lag_2,count_lag_3,count_lag_4,count_lag_5,count_lag_6,count_rolling_avg_7,count_rolling_std_7
1.0,2025-07-21,2025,Monday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",2,,,,,,,2.0,
1.0,2025-07-22,2025,Tuesday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",44,2.0,,,,,,23.0,29.698484809834994
1.0,2025-07-23,2025,Wednesday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",58,44.0,2.0,,,,,34.666666666666664,29.143323992525858
1.0,2025-07-24,2025,Thursday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",32,58.0,44.0,2.0,,,,34.0,23.83275057562597
1.0,2025-07-25,2025,Friday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",28,32.0,58.0,44.0,2.0,,,32.8,20.813457185196313
1.0,2025-07-26,2025,Saturday,Weekend,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",24,28.0,32.0,58.0,44.0,2.0,,31.333333333333332,18.959606184377
1.0,2025-07-27,2025,Sunday,Weekend,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",20,24.0,28.0,32.0,58.0,44.0,2.0,29.714285714285715,17.82988395657027
1.0,2025-07-28,2025,Monday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",59,20.0,24.0,28.0,32.0,58.0,44.0,37.857142857142854,15.983622570499795
1.0,2025-07-29,2025,Tuesday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",46,59.0,20.0,24.0,28.0,32.0,58.0,38.142857142857146,16.128944700223173
1.0,2025-07-30,2025,Wednesday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",38,46.0,59.0,20.0,24.0,28.0,32.0,35.285714285714285,13.597969036027473
1.0,2025-07-31,2025,Thursday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",39,38.0,46.0,59.0,20.0,24.0,28.0,36.285714285714285,13.573433435873742
1.0,2025-08-01,2025,Friday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",19,39.0,38.0,46.0,59.0,20.0,24.0,35.0,14.854853303438128
1.0,2025-08-02,2025,Saturday,Weekend,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",18,19.0,39.0,38.0,46.0,59.0,20.0,34.142857142857146,15.741966961263888
1.0,2025-08-03,2025,Sunday,Weekend,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",32,18.0,19.0,39.0,38.0,46.0,59.0,35.857142857142854,14.553677329442337
1.0,2025-08-04,2025,Monday,Weekday,Summer,False,"1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602",459,"2,750",0,"5,278","5,951","23,158","10,599",70,32.0,18.0,19.0,39.0,38.0,46.0,37.42857142857143,17.71870144656151
2.0,2025-07-21,2025,Monday,Weekday,Summer,False,"2,088","3,577","3,031","4,005","5,327","10,747","3,219","5,519","8,146","7,729","4,907","10,789","2,568","4,807","7,905","6,939","5,945","79,220","36,943","9,310",681,"16,696",17,"6,958","8,615","31,486","17,531",5,,,,,,,5.0,
2.0,2025-07-22,2025,Tuesday,Weekday,Summer,False,"2,088","3,577","3,031","4,005","5,327","10,747","3,219","5,519","8,146","7,729","4,907","10,789","2,568","4,807","7,905","6,939","5,945","79,220","36,943","9,310",681,"16,696",17,"6,958","8,615","31,486","17,531",58,5.0,,,,,,31.5,37.476659402887016
2.0,2025-07-23,2025,Wednesday,Weekday,Summer,False,"2,088","3,577","3,031","4,005","5,327","10,747","3,219","5,519","8,146","7,729","4,907","10,789","2,568","4,807","7,905","6,939","5,945","79,220","36,943","9,310",681,"16,696",17,"6,958","8,615","31,486","17,531",88,58.0,5.0,,,,,50.333333333333336,42.027768598074935
2.0,2025-07-24,2025,Thursday,Weekday,Summer,False,"2,088","3,577","3,031","4,005","5,327","10,747","3,219","5,519","8,146","7,729","4,907","10,789","2,568","4,807","7,905","6,939","5,945","79,220","36,943","9,310",681,"16,696",17,"6,958","8,615","31,486","17,531",84,88.0,58.0,5.0,,,,58.75,38.22193959843831
2.0,2025-07-25,2025,Friday,Weekday,Summer,False,"2,088","3,577","3,031","4,005","5,327","10,747","3,219","5,519","8,146","7,729","4,907","10,789","2,568","4,807","7,905","6,939","5,945","79,220","36,943","9,310",681,"16,696",17,"6,958","8,615","31,486","17,531",50,84.0,88.0,58.0,5.0,,,57.0,33.331666624997915
2.0,2025-07-26,2025,Saturday,Weekend,Summer,False,"2,088","3,577","3,031","4,005","5,327","10,747","3,219","5,519","8,146","7,729","4,907","10,789","2,568","4,807","7,905","6,939","5,945","79,220","36,943","9,310",681,"16,696",17,"6,958","8,615","31,486","17,531",24,50.0,84.0,88.0,58.0,5.0,,51.5,32.715439780018244
