community_area_number,top_3_services
1,"['Property & Building Code Enforcement', 'Trees & Yard Waste', 'Vehicle & Parking Services']"
2,"['Animal Control', 'Vehicle & Parking Services', 'Streets & Sidewalks']"
3,"['Animal Control', 'Property & Building Code Enforcement', 'Streets & Sidewalks']"
4,"['Property & Building Code Enforcement', 'Waste & Sanitation', 'Streets & Sidewalks']"
5,"['Streets & Sidewalks', 'Trees & Yard Waste', 'Property & Building Code Enforcement']"
6,"['Waste & Sanitation', 'Property & Building Code Enforcement', 'Trees & Yard Waste']"
7,"['Vehicle & Parking Services', 'Streets & Sidewalks', 'Waste & Sanitation']"
8,"['Vehicle & Parking Services', 'Streets & Sidewalks', 'Property & Building Code Enforcement']"
9,"['Streets & Sidewalks', 'Waste & Sanitation', 'Animal Control']"
10,"['Streets & Sidewalks', 'Trees & Yard Waste', 'Vehicle & Parking Services']"
11,"['Trees & Yard Waste', 'Property & Building Code Enforcement', 'Vehicle & Parking Services']"
12,"['Trees & Yard Waste', 'Vehicle & Parking Services', 'Waste & Sanitation']"
13,"['Streets & Sidewalks', 'Pest Control', 'Property & Building Code Enforcement']"
14,"['Trees & Yard Waste', 'Vehicle & Parking Services', 'Property & Building Code Enforcement']"
15,"['Trees & Yard Waste', 'Waste & Sanitation', 'Pest Control']"
16,"['Trees & Yard Waste', 'Waste & Sanitation', 'Property & Building Code Enforcement']"
17,"['Trees & Yard Waste', 'Waste & Sanitation', 'Vehicle & Parking Services']"
18,"['Streets & Sidewalks', 'Trees & Yard Waste', 'Waste & Sanitation']"
19,"['Trees & Yard Waste', 'Waste & Sanitation', 'Pest Control']"
20,"['Waste & Sanitation', 'Property & Building Code Enforcement', 'Pest Control']"
21,"['Property & Building Code Enforcement', 'Waste & Sanitation', 'Streets & Sidewalks']"
22,"['Streets & Sidewalks', 'Trees & Yard Waste', 'Property & Building Code Enforcement']"
23,"['Waste & Sanitation', 'Vehicle & Parking Services', 'Streets & Sidewalks']"
24,"['Property & Building Code Enforcement', 'Waste & Sanitation', 'Pest Control']"
25,"['Waste & Sanitation', 'Trees & Yard Waste', 'Vehicle & Parking Services']"
26,"['Streets & Sidewalks', 'Waste & Sanitation', 'Property & Building Code Enforcement']"
27,"['Waste & Sanitation', 'Streets & Sidewalks', 'Property & Building Code Enforcement']"
28,"['Property & Building Code Enforcement', 'Streets & Sidewalks', 'Waste & Sanitation']"
29,"['Waste & Sanitation', 'Vehicle & Parking Services', 'Trees & Yard Waste']"
30,"['Property & Building Code Enforcement', 'Vehicle & Parking Services', 'Waste & Sanitation']"
31,"['Property & Building Code Enforcement', 'Streets & Sidewalks', 'Waste & Sanitation']"
32,"['Property & Building Code Enforcement', 'Streets & Sidewalks', 'Waste & Sanitation']"
33,"['Streets & Sidewalks', 'Property & Building Code Enforcement', 'Animal Control']"
34,"['Property & Building Code Enforcement', 'Pest Control', 'Streets & Sidewalks']"
35,"['Streets & Sidewalks', 'Pest Control', 'Waste & Sanitation']"
37,['Streets & Sidewalks']
38,"['Streets & Sidewalks', 'Waste & Sanitation', 'Pest Control']"
39,"['Streets & Sidewalks', 'Animal Control', 'Waste & Sanitation']"
40,"['Streets & Sidewalks', 'Animal Control', 'Property & Building Code Enforcement']"
41,"['Streets & Sidewalks', 'Trees & Yard Waste', 'Vehicle & Parking Services']"
42,"['Streets & Sidewalks', 'Animal Control', 'Waste & Sanitation']"
43,"['Waste & Sanitation', 'Streets & Sidewalks', 'Vehicle & Parking Services']"
44,"['Vehicle & Parking Services', 'Animal Control', 'Waste & Sanitation']"
45,"['Waste & Sanitation', 'Vehicle & Parking Services', 'Trees & Yard Waste']"
46,"['Vehicle & Parking Services', 'Trees & Yard Waste', 'Waste & Sanitation']"
47,"['Pest Control', 'Vehicle & Parking Services', 'Waste & Sanitation']"
48,"['Streets & Sidewalks', 'Trees & Yard Waste', 'Waste & Sanitation']"
49,"['Waste & Sanitation', 'Animal Control', 'Streets & Sidewalks']"
50,"['Animal Control', 'Waste & Sanitation', 'Streets & Sidewalks']"
51,"['Waste & Sanitation', 'Trees & Yard Waste', 'Animal Control']"
52,"['Streets & Sidewalks', 'Vehicle & Parking Services', 'Waste & Sanitation']"
53,"['Trees & Yard Waste', 'Waste & Sanitation', 'Streets & Sidewalks']"
54,['Streets & Sidewalks']
55,"['Streets & Sidewalks', 'Waste & Sanitation', 'Animal Control']"
56,"['Waste & Sanitation', 'Water Services', 'Streets & Sidewalks']"
57,"['Property & Building Code Enforcement', 'Vehicle & Parking Services', 'Animal Control']"
58,"['Property & Building Code Enforcement', 'Waste & Sanitation', 'Trees & Yard Waste']"
59,"['Property & Building Code Enforcement', 'Vehicle & Parking Services', 'Animal Control']"
60,"['Pest Control', 'Property & Building Code Enforcement', 'Waste & Sanitation']"
61,"['Waste & Sanitation', 'Trees & Yard Waste', 'Property & Building Code Enforcement']"
62,"['Waste & Sanitation', 'Property & Building Code Enforcement', 'Pest Control']"
63,"['Water Services', 'Trees & Yard Waste', 'Vehicle & Parking Services']"
64,"['Animal Control', 'Vehicle & Parking Services', 'Waste & Sanitation']"
65,"['Waste & Sanitation', 'Water Services', 'Property & Building Code Enforcement']"
66,"['Waste & Sanitation', 'Water Services', 'Trees & Yard Waste']"
67,"['Waste & Sanitation', 'Trees & Yard Waste', 'Animal Control']"
68,"['Waste & Sanitation', 'Streets & Sidewalks', 'Trees & Yard Waste']"
69,"['Waste & Sanitation', 'Trees & Yard Waste', 'Animal Control']"
70,"['Waste & Sanitation', 'Vehicle & Parking Services', 'Streets & Sidewalks']"
71,"['Animal Control', 'Waste & Sanitation', 'Streets & Sidewalks']"
72,"['Trees & Yard Waste', 'Waste & Sanitation', 'Streets & Sidewalks']"
73,"['Waste & Sanitation', 'Streets & Sidewalks', 'Animal Control']"
74,"['Streets & Sidewalks', 'Waste & Sanitation', 'Pest Control']"
75,"['Waste & Sanitation', 'Trees & Yard Waste', 'Streets & Sidewalks']"
76,"['Miscellaneous & Other Services', 'Vehicle & Parking Services', 'Waste & Sanitation']"
77,"['Property & Building Code Enforcement', 'Animal Control', 'Streets & Sidewalks']"
